"","text","lat","lon","created"
"24","Moving house day!! Eeek",-0.386855,51.594802,2014-06-06 07:02:39
"3220","time to pack. moving house in a couple hours",-0.049165,51.481127,2014-06-06 07:12:10
"19500","@juliahansen1 well you need to come up to the new flat! When are you working this weekend?",-4.251548,55.855884,2014-06-06 07:58:09
"20387","My baby boy due October total of 2 boys &amp; 2 girls and view our new house Sat &amp; buying range rover sport result http://t.co/u2p83Q7P0O",0.37064,51.661908,2014-06-06 08:00:36
"21819","That is to say, I am moving houses today! SO MANY BOOKS TO BE MOVES AND RESHELVED!! (More than a little excited about the shelving part!)",0.576772,51.624771,2014-06-06 08:04:35
"24418","On Friday I alway like to search for a new house  ( always on the look out ) search our properties for sale http://t.co/vwJPsP677E",-4.304524,55.870066,2014-06-06 08:11:53
"31975","@curate123456 
Good morning Irene.  How are you? Beginning to make new house home!  God is awesome!",-0.152113,50.965448,2014-06-06 08:32:36
"33086","Managed to get locked out of my new house in my pyjamas, fucking fantastic.",-2.348129,51.365756,2014-06-06 08:35:39
"42478","@xlaurenclifford @CuntsWatching hahahaha shes advertising for some new house mates, preferably gurrrls ' you gonna move in????",-1.599112,52.397225,2014-06-06 09:00:35
"50840","Moving house in a couple of weeks Ì†ΩÌ∏ÉÌ†ºÌø°",-1.429433,53.229273,2014-06-06 09:22:25
"53155","a neighbour just caught me sniffing ham, I think it's time to move house...",-0.700515,52.307186,2014-06-06 09:28:14
"63286","@smeguk if I buy all of your shiny new small appliances for my new house, can I have a free fridge please? Ì†ΩÌ∏ä",0,0,2014-06-06 09:53:08
"64676","Signing the lease for my new flat in Paisley at 4 today and I'm still sat in Aberdeenshite cause mum ain't ready Ì†ΩÌ∏é",-2.024115,57.547183,2014-06-06 09:56:33
"68002","Wonder why Damon wants a parrot for the new house .......",-1.523356,54.517646,2014-06-06 10:04:47
"68295","Pick up the keys too our new house on Monday @RicciG67 #cheesing #cantwait Ì†ºÌø°Ì†ΩÌ≤ï",-3.163357,55.965617,2014-06-06 10:05:34
"78411","Ma guuuuuuuuurls @ge_humphreys @StreetGeorgia pouncing into Bristol and a new flat. Hell yeah Friday you sexy beast!",-2.599751,51.465696,2014-06-06 10:30:07
"92859","Is it so hella important to talk bout he got new house n for how much!?? Let me know when he drops new album pls!!!!! #kendricklamar",-1.83556,52.462785,2014-06-06 11:04:04
"100460","perfect accessory for the new flat! @JAGERMEISTER_ @JagermeisterUSA @JAGERMEISTERUK http://t.co/3zqWsc5HNx",-4.240373,55.862491,2014-06-06 11:21:55
"107617","Jack Wilshere's new house http://t.co/WPwMbL8uFa",0,0,2014-06-06 11:38:08
"109564","This guy was last seen packing for moving house and swerving nights out, have you seen him? #GETGORMOOUT http://t.co/UR2X64oVKL",-1.439829,52.400608,2014-06-06 11:42:36
"113097","Need to get to the new house. But lying in my pure filth and can't move. Ahhh :(",-0.784678,51.802862,2014-06-06 11:50:51
"115462","Ready to see my new flat!! (@ Brixton Railway Station (BRX) - @nationalrailenq) http://t.co/0UzXspFPC8",-0.114434,51.462604,2014-06-06 11:56:36
"119527","Who'd have thought picking a rug for the new house could be so difficult.
I need the perfect one!",-1.57373,53.762584,2014-06-06 12:06:13
"126710","Taking Maisie to see her new house and she's so excited. What id do to be 3 again Ì†ΩÌπà",-1.274385,51.369028,2014-06-06 12:22:48
"139905","@aimesxx where abouts is your new house?!",0.055159,52.457671,2014-06-06 12:54:57
"142569","Moving house in 2 weeks...I CAN'T WAIT!!!",-1.219481,51.765126,2014-06-06 13:01:27
"143498","Already receiving emails and information from my lawyers #newhouse #scary #hahaMyLawyers #SoundsWeird",0,0,2014-06-06 13:03:52
"144447","Such an emotional wreck today. So happy to move home next weekend but also sad cos I will miss being here too Ì†ΩÌ∏Ç",-3.318622,57.657575,2014-06-06 13:06:16
"145722","Can't wait to big brother tonight to see all the new house mates #bbuk",-5.963181,54.595682,2014-06-06 13:09:33
"155229","Just picked up the keys to my first House! LDN is now officially my home. #NewFlat #LDN @ Queen‚Ä¶ http://t.co/akEPCvogoQ",-0.026733,51.541302,2014-06-06 13:33:52
"156080","I'm sad packing my room up Ì†ΩÌ∏• Ohwell new house in July #MtvCribs #gaff",-1.567417,53.81179,2014-06-06 13:35:58
"159210","Once we move house I'm getting a shelf so they can go on display.",0,0,2014-06-06 13:43:33
"161543","@PradaAndProzac trying to buy a new house at the mo and the world seems to be against us! Apart from that, all good! How goes things with u?",-2.362857,51.38395,2014-06-06 13:49:25
"162982","There's a middle aged woman outside my window who was asked to move house by lboro council because they think she's running a brothel",-1.220271,52.773552,2014-06-06 13:52:53
"164287","Everythings so arseways the last two years , yad think be settled by now , descisons to be made haha moving house for the 5th fucking timeÌ†ΩÌπâ",-7.494258,53.286463,2014-06-06 13:56:02
"164690","@007 I have a print of that photo, ready to go on my wall when I move into my new house!!!",-0.022108,51.538671,2014-06-06 13:57:03
"168844","@McJayTayTay But we have a week off and new flat and rum =( haha",0.855359,51.156036,2014-06-06 14:06:55
"182238","Lost my house keys and lived in my new house a week,ffs great",-1.538588,55.093049,2014-06-06 14:38:42
"182413","Haha new house mates Ì†ΩÌ±çÌ†ΩÌπã‚úîÔ∏èÌ†ºÌΩπ http://t.co/pTWgNDjr9l",-3.501383,53.149043,2014-06-06 14:39:03
"182614","My life for the next week is that most excellent of games: 'Where the Fuck is Literally Anything?!' #MovingHouse",0.509388,51.379539,2014-06-06 14:39:30
"186404","Moving houses is not the one...I am KNACKERED",-0.723205,51.640226,2014-06-06 14:47:46
"194151","@B31Voices Can anyone recommend a good cattery in B31 area? Want to board cats when we move house to B31 in 2 wks. Not Cramar its full. Thx",-1.242127,52.998496,2014-06-06 15:04:23
"203320","Also turbo excited as I'm going to visit the new house tonight to check it over and measure up. SO EXCITED!",0.005775,51.528785,2014-06-06 15:23:23
"203495","No, no, no.. Please no storms overnight.. I have to move house &amp; country in the morning!Ì†ΩÌ∏¨ http://t.co/Awr6AZFlPB",-2.547558,51.537649,2014-06-06 15:23:47
"210988","@CharlotteDArcy swell :) I move into my new flat this evening - party time soon :)",-0.12827,51.505784,2014-06-06 15:38:50
"211549","I have no clothes cause they're at my new house so I'm wearing blue swim shorts with a red checkered shirt...fab",-2.333969,53.620581,2014-06-06 15:40:00
"218917","Finally saw @JackoT93 's new house yesterday! Fell in loveeeee got super excited and now I can't wait to decorate eeee exciting times Ì†ºÌæâÌ†ºÌæâÌ†ºÌæâ",-2.296647,53.596519,2014-06-06 15:54:46
"231845","Our new house ‚ù§Ô∏è (@ hendon court) http://t.co/rEMPzQbgJ4",-1.128121,52.968121,2014-06-06 16:20:39
"235157","Time it takes to walk to work from new flat, 9 minutes,  door to door!",-3.220312,55.943571,2014-06-06 16:27:27
"236646","My weekends are packed for the next 2/3 months! Moving home, art dates, my birthday celebrations, weddings, RIAT, weddings, Aldeburgh #happy",0,0,2014-06-06 16:30:24
"252476","New job, new team, new flatmates, old friends... Time for celebrating! @ Be At One in Smithfield http://t.co/SxFAw5wScg",-0.100329,51.520096,2014-06-06 17:03:19
"253414","@chellybeee I told you you'd be fine hunnie!! What was the outcome? Ps i move home Sunday!!! Ì†ºÌæâÌ†ºÌæâÌ†ºÌæâ",-2.110131,57.141189,2014-06-06 17:05:14
"254118","Just wanna be in the new house already",0.38717,51.180252,2014-06-06 17:06:37
